sample_key,candidate_score_step24,candidate_tier_step24,candidate_reason_step24,candidate_caution_step24,DOI,paper_title,sample_id,composition,material_system,n_or_p,n_or_p_final_step17,n_or_p_basis,n_or_p_step6,n_or_p_basis_step6,n_or_p_confidence_step6,zt_obs_max_step24,zt_pred_ML_max_step24,zt_pred_fitting_max_step24,zt_calc_from_obs_max_step24,zt_obs_max_step21,zt_pred_ML_max_step21,zt_pred_fitting_max_step21,zt_calc_from_obs_max_step21,zt_obs_max_step22,zt_pred_ML_max_step22,zt_pred_fitting_max_step22,zt_calc_from_obs_max_step22,sigma_obs_max_step24,sigma_obs_median_step24,sigma_pred_ML_max_step24,sigma_pred_ML_median_step24,kappa_obs_min_step24,kappa_obs_median_step24,seebeck_abs_max_step24,seebeck_abs_median_step24,zt_obs_max_from_rows_step24,zt_pred_ML_max_from_rows_step24,zt_calc_from_obs_max_from_rows_step24,temperature_min_step24,temperature_max_step24,temperature_span_step24,n_temperature_rows_step24,is_high_zt_observed_step24,is_high_zt_ml_predicted_step24,is_high_zt_fitting_predicted_step24,is_low_kappa_step24,is_high_sigma_obs_step24,is_high_sigma_ml_step24,is_low_kappa_high_sigma_step24,elements_detected_step24,contains_carbon_element_step24,rare_metal_elements_step24,rare_metal_flag_step24,toxicity_attention_elements_step24,toxicity_attention_flag_step24,is_low_rare_metal_attention_step24,is_low_toxicity_attention_step24,is_nanocarbon_candidate_step24,is_ml_supported_candidate_step24,is_fitting_supported_candidate_step24,is_balanced_recommended_candidate_step24,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,additive_final_step17,additive_source_step17,additive_confidence_final_step17,structure_final_step17,structure_source_step17,structure_confidence_final_step17,sintering_method_final_step17,sintering_condition_final_step17,sintering_checked_final_step17,sintering_source_step17,sintering_confidence_final_step17,paper_checked_step17,manual_review_status_step17,comparison_category_step22,primary_error_source_hypothesis_step23,secondary_error_source_hypothesis_step23,error_pattern_step23,error_cause_note_step23,sigma_fitting_log_rmse_step22,sigma_ML_log_rmse_step22,sigma_log_rmse_gap_ML_minus_fitting_step22,pf_fitting_mape_step22,pf_ML_mape_step22,pf_mape_gap_ML_minus_fitting_step22,zt_obs_fitting_mape_step22,zt_obs_ML_mape_step22,zt_obs_mape_gap_ML_minus_fitting_step22,missing_additive_info_step23,missing_structure_info_step23,missing_sintering_info_step23,manual_annotation_needed_step23,step23_review_priority_score,step23_review_priority_tier,step23_review_reason,in_manual_review_priority_step24,in_sintering_check_priority_step24,in_high_zt_error_step24,needs_manual_review_step24,needs_sintering_check_step24,sintering_method,sintering_checked,record_checked,evaluation_scope_step21,downstream_evaluation_note_step21,doi_url
10.1002_adma.201400515__sample_7654,165,A,observed ZT >= threshold; ML predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1002/adma.201400515,,7654,Cu1.97S,unknown,p,p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,1.553548,1.0534731725036417,0.5318182689261721,1.097835203305677,1.553548,3.11036269136487,0.5318182689261721,1.097835203305677,1.553548,1.0534731725036417,0.5318182689261721,1.097835203305677,13947.23,10319.37,116844.99148565027,63675.5836614407,0.4716863,0.4765097,0.0002592593,0.0001498316,1.553548,3.11036269136487,1.097835203305677,301.614,994.852,693.238,15,True,True,False,True,True,True,True,Cu;S,False,,False,,False,True,True,False,True,True,True,False,unknown,False,False,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,not_checked,not_evaluated,not_evaluable,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect; tau_eff_ML_prediction_error,not_evaluable,candidate hypothesis only; no causal mechanism proven,0.4761489516156775,0.8330383373825694,0.3568893857668918,0.740617553119639,2.0556151026008616,1.3149975494812227,,,,True,True,True,True,60.0,B,observed high ZT; missing sintering info for high-ZT/error sample; manual review not checked,False,False,True,True,True,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1002/adma.201400515
10.1039_c5ta01667c__sample_7224,145,A,observed ZT >= threshold; ML predicted ZT >= threshold; low thermal conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1039/c5ta01667c,,7224,Cu1.97S,,p,p,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,1.89418,6.02044003986307,0.1733118333599964,0.2107504195074948,1.89418,6.02044003986307,0.1733118333599964,0.2107504195074948,,,,,2782.609,1739.13,85485.3280298994,58304.26758538444,0.3471321,0.3526949,0.0002370761,0.0002143591,1.89418,6.02044003986307,0.2107504195074948,401.811,966.796,564.9850000000001,19,True,True,False,True,False,True,True,Cu;S,False,,False,,False,True,True,False,True,True,True,False,,False,False,,auto_step9,,,auto_step9,,,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1039/c5ta01667c
10.1109_ict.2005.1519880__sample_24217,145,A,observed ZT >= threshold; ML predicted ZT >= threshold; low thermal conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,10.1109/ict.2005.1519880,,24217,TiO1.1,,p,p,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,1.543128,1.2277392673317538,0.5837148207394245,1.4726503597260654,1.543128,1.2277392673317538,0.5837148207394245,1.4726503597260654,,,,,8985.675,8280.326000000001,31700.29965189816,19745.375675831478,1.445161,4.2064515,0.001008116,0.0007930434499999999,1.543128,1.2277392673317538,1.4726503597260654,569.954,1220.182,650.2280000000001,14,True,True,False,True,False,True,True,O;Ti,False,,False,,False,True,True,False,True,True,True,False,,False,False,,auto_step9,,,auto_step9,,,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1109/ict.2005.1519880
10.1021_jacs.8b09029__sample_45134,130,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1021/jacs.8b09029,,45134,(Pb0.99Sn0.01)(Te0.99Se0.01),unknown,n,n,,,,,1.147118,1.132245216944308,2.199810570298052,1.1560939688418226,1.147118,1.820990459094463,2.199810570298052,1.1560939688418226,1.147118,1.132245216944308,2.199810570298052,1.1560939688418226,258732.8,122874.7,140547.6821888572,87519.99548466974,1.297465,1.860287,0.0001965213,0.0001322153,1.147118,1.820990459094463,1.1560939688418226,300.0,873.267,573.267,13,True,True,True,True,True,True,True,Pb;Se;Sn;Te,False,Se;Te,True,Pb;Se;Te,True,False,False,False,True,True,True,False,,True,True,,,,,,,,,no,,,no,unknown,ML_close_to_fitting,material_system_out_of_distribution,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,both_good,candidate hypothesis only; no causal mechanism proven,0.4664634232100858,0.8116083733123224,0.3451449501022365,0.4646152745636538,0.4284123441312892,-0.0362029304323646,0.490330370634378,0.4110343255280058,-0.0792960451063722,True,True,True,True,60.0,B,observed high ZT; missing sintering info for high-ZT/error sample; manual review not checked,False,False,True,True,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1021/jacs.8b09029
10.1021_acsami.0c01004__sample_32842,130,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1021/acsami.0c01004,,32842,Mn3.2Sb1.5Bi0.49Se0.01,unknown,n,n,,,,,1.24757,1.6607647207936105,1.0273330173023696,1.2455792308147842,1.24757,2.319670340254694,1.0273330173023696,1.2455792308147842,1.24757,1.6607647207936105,1.0273330173023696,1.2455792308147842,22261.97,20091.97,48756.74469805619,37423.26556557509,0.9972414,1.077931,0.0003008422,0.0002829659,1.24757,2.319670340254694,1.2455792308147842,322.51,723.593,401.08299999999997,9,True,True,True,True,True,True,True,Bi;Mn;Sb;Se,False,Bi;Sb;Se,True,Sb;Se,True,False,False,False,True,True,True,False,,True,True,,,,,,,,,no,,,no,unknown,ML_much_worse,insufficient_material_features,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,fitting_good_ML_bad,candidate hypothesis only; no causal mechanism proven,0.3903929513737687,0.6189558170589564,0.2285628656851877,0.4342646686172247,1.0350811307708785,0.6008164621536536,0.4983127692149559,1.13736361796507,0.639050848750114,True,True,True,True,120.0,A,ML much worse than fitting; observed high ZT; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,True,True,True,True,True,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1021/acsami.0c01004
10.1021_acsami.7b04098__sample_2830,130,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1021/acsami.7b04098,,2830,Pb0.94Na0.02Sr0.04Te,unknown,p,p,,,,,1.758954,1.864589789279556,2.241591807400201,1.471938157354183,1.758954,1.8393003096157696,2.241591807400201,1.471938157354183,1.758954,1.864589789279556,2.241591807400201,1.471938157354183,117041.7,35130.845,65197.57118106019,40666.4427919717,0.9572483,1.3081055,0.000266484,0.00026525965,1.758954,1.8393003096157696,1.471938157354183,316.854,916.854,600.0,8,True,True,True,True,True,True,True,Na;Pb;Sr;Te,False,Te,True,Pb;Te,True,False,False,False,True,True,True,False,,True,True,,,,,,,,,no,,,no,unknown,not_evaluated,not_evaluable,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,not_evaluable,candidate hypothesis only; no causal mechanism proven,0.3136108966001271,0.3636773793715966,0.0500664827714694,0.319922538768543,0.2661163808588722,-0.0538061579096708,,,,True,True,True,True,60.0,B,observed high ZT; missing sintering info for high-ZT/error sample; manual review not checked,False,False,True,True,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1021/acsami.7b04098
10.1021_acsami.1c12282__sample_45840,130,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1021/acsami.1c12282,,45840,Al0.01Sb0.1Ge0.89Te,unknown,p,p,,,,,1.961611,2.1004422874243884,1.796694238598504,2.141704682008004,1.961611,3.0405728651502124,1.796694238598504,2.141704682008004,1.961611,2.1004422874243884,1.796694238598504,2.141704682008004,59181.8,51632.97,124862.74681967527,81771.37112546842,1.35454,1.39544,0.0002681874,0.0002460426,1.961611,3.0405728651502124,2.141704682008004,322.435,823.68,501.24499999999995,9,True,True,True,True,True,True,True,Al;Ge;Sb;Te,False,Ge;Sb;Te,True,Sb;Te,True,False,False,False,True,True,True,False,,True,True,,,,,,,,,no,,,no,unknown,ML_close_to_fitting,material_system_out_of_distribution,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,both_good,candidate hypothesis only; no causal mechanism proven,0.2680131640171172,0.3102085392112647,0.0421953751941475,0.2197518001076268,0.2868421681369009,0.067090368029274,0.2823526861099285,0.3758831683946986,0.0935304822847701,True,True,True,True,60.0,B,observed high ZT; missing sintering info for high-ZT/error sample; manual review not checked,False,False,True,True,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1021/acsami.1c12282
10.1021_acsami.1c12282__sample_45839,130,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1021/acsami.1c12282,,45839,Al0.0075Sb0.1Ge0.8925Te,unknown,p,p,,,,,1.986617,1.9161067588573089,1.7133689423095575,2.077037975795474,1.986617,2.7737311577632098,1.7133689423095575,2.077037975795474,1.986617,1.9161067588573089,1.7133689423095575,2.077037975795474,60619.33,53365.88,124862.74681967527,81771.37112546842,1.419731,1.460814,0.0002599663,0.0002402741,1.986617,2.7737311577632098,2.077037975795474,322.435,822.998,500.56300000000005,9,True,True,True,True,True,True,True,Al;Ge;Sb;Te,False,Ge;Sb;Te,True,Sb;Te,True,False,False,False,True,True,True,False,,True,True,,,,,,,,,no,,,no,unknown,ML_close_to_fitting,material_system_out_of_distribution,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,both_good,candidate hypothesis only; no causal mechanism proven,0.223117906572646,0.2495764498875319,0.0264585433148859,0.1953235754411361,0.2214779450613735,0.0261543696202373,0.1709992987497942,0.1817008651630461,0.0107015664132519,True,True,True,True,60.0,B,observed high ZT; missing sintering info for high-ZT/error sample; manual review not checked,False,False,True,True,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1021/acsami.1c12282
10.1021_acsami.1c12282__sample_45838,130,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1021/acsami.1c12282,,45838,Al0.005Sb0.1Ge0.895Te,unknown,p,p,,,,,1.788779,1.535452665516902,1.4307129728459604,1.7593480239975354,1.788779,2.222701256037876,1.4307129728459604,1.7593480239975354,1.788779,1.535452665516902,1.4307129728459604,1.7593480239975354,63836.88,55184.89,124862.74681967527,81771.37112546842,1.426083,1.512674,0.0002540581,0.00022902915,1.788779,2.222701256037876,1.7593480239975354,323.117,822.998,499.88100000000003,9,True,True,True,True,True,True,True,Al;Ge;Sb;Te,False,Ge;Sb;Te,True,Sb;Te,True,False,False,False,True,True,True,False,,True,True,,,,,,,,,no,,,no,unknown,ML_close_to_fitting,material_system_out_of_distribution,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,both_good,candidate hypothesis only; no causal mechanism proven,0.2266493263669219,0.2374061268203895,0.0107568004534676,0.2015204310841011,0.2162733468815271,0.014752915797426,0.2141023493619264,0.2309281626867725,0.0168258133248461,True,True,True,True,60.0,B,observed high ZT; missing sintering info for high-ZT/error sample; manual review not checked,False,False,True,True,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1021/acsami.1c12282
10.1021_acsami.1c12282__sample_45837,130,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1021/acsami.1c12282,,45837,Sb0.15Ge0.85Te,unknown,p,p,,,,,1.580759,2.056541622028945,1.0922831709185763,1.6502837719995238,1.580759,1.5945832314656654,1.0922831709185763,1.6502837719995238,1.580759,2.056541622028945,1.0922831709185763,1.6502837719995238,47772.85,39822.11,67785.685218102,44388.61369993419,1.204964,1.419108,0.0002657858,0.0002400086,1.580759,1.5945832314656654,1.6502837719995238,327.294,826.619,499.32500000000005,9,True,True,True,True,True,True,True,Ge;Sb;Te,False,Ge;Sb;Te,True,Sb;Te,True,False,False,False,True,True,True,False,,True,True,,,,,,,,,no,,,no,unknown,ML_much_worse,missing_additive_or_structure_annotation,possible_sintering_or_microstructure_effect,both_poor,candidate hypothesis only; no causal mechanism proven,0.4875489039653377,0.7988013335239303,0.3112524295585926,0.469299612421951,1.1495622356124295,0.6802626231904785,0.5003815890063253,1.2813413325174852,0.7809597435111598,True,True,True,True,120.0,A,ML much worse than fitting; observed high ZT; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,True,True,True,True,True,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1021/acsami.1c12282
