sample_key,candidate_score_step24,candidate_tier_step24,candidate_reason_step24,candidate_caution_step24,DOI,paper_title,sample_id,composition,material_system,n_or_p,n_or_p_final_step17,n_or_p_basis,n_or_p_step6,n_or_p_basis_step6,n_or_p_confidence_step6,zt_obs_max_step24,zt_pred_ML_max_step24,zt_pred_fitting_max_step24,zt_calc_from_obs_max_step24,zt_obs_max_step21,zt_pred_ML_max_step21,zt_pred_fitting_max_step21,zt_calc_from_obs_max_step21,zt_obs_max_step22,zt_pred_ML_max_step22,zt_pred_fitting_max_step22,zt_calc_from_obs_max_step22,sigma_obs_max_step24,sigma_obs_median_step24,sigma_pred_ML_max_step24,sigma_pred_ML_median_step24,kappa_obs_min_step24,kappa_obs_median_step24,seebeck_abs_max_step24,seebeck_abs_median_step24,zt_obs_max_from_rows_step24,zt_pred_ML_max_from_rows_step24,zt_calc_from_obs_max_from_rows_step24,temperature_min_step24,temperature_max_step24,temperature_span_step24,n_temperature_rows_step24,is_high_zt_observed_step24,is_high_zt_ml_predicted_step24,is_high_zt_fitting_predicted_step24,is_low_kappa_step24,is_high_sigma_obs_step24,is_high_sigma_ml_step24,is_low_kappa_high_sigma_step24,elements_detected_step24,contains_carbon_element_step24,rare_metal_elements_step24,rare_metal_flag_step24,toxicity_attention_elements_step24,toxicity_attention_flag_step24,is_low_rare_metal_attention_step24,is_low_toxicity_attention_step24,is_nanocarbon_candidate_step24,is_ml_supported_candidate_step24,is_fitting_supported_candidate_step24,is_balanced_recommended_candidate_step24,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,additive_final_step17,additive_source_step17,additive_confidence_final_step17,structure_final_step17,structure_source_step17,structure_confidence_final_step17,sintering_method_final_step17,sintering_condition_final_step17,sintering_checked_final_step17,sintering_source_step17,sintering_confidence_final_step17,paper_checked_step17,manual_review_status_step17,comparison_category_step22,primary_error_source_hypothesis_step23,secondary_error_source_hypothesis_step23,error_pattern_step23,error_cause_note_step23,sigma_fitting_log_rmse_step22,sigma_ML_log_rmse_step22,sigma_log_rmse_gap_ML_minus_fitting_step22,pf_fitting_mape_step22,pf_ML_mape_step22,pf_mape_gap_ML_minus_fitting_step22,zt_obs_fitting_mape_step22,zt_obs_ML_mape_step22,zt_obs_mape_gap_ML_minus_fitting_step22,missing_additive_info_step23,missing_structure_info_step23,missing_sintering_info_step23,manual_annotation_needed_step23,step23_review_priority_score,step23_review_priority_tier,step23_review_reason,in_manual_review_priority_step24,in_sintering_check_priority_step24,in_high_zt_error_step24,needs_manual_review_step24,needs_sintering_check_step24,sintering_method,sintering_checked,record_checked,evaluation_scope_step21,downstream_evaluation_note_step21,doi_url
10.1002_sstr.202400201__sample_83886,110,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1002/sstr.202400201,,83886,(HSC6H4OH)39.14(Sb2Te3)60.86,,p,,,,,,3.839,1.7434408189494792,4.969620315281356,3.974141014062436,3.839,1.7434408189494792,4.969620315281356,3.974141014062436,,,,,86742.0,73858.0,34976.755385860044,25955.484050875893,0.5455,0.7636,0.0003392,0.0003122,3.839,1.7434408189494792,3.974141014062436,300.0,500.0,200.0,16,True,True,True,True,True,True,True,C;H;O;S;Sb;Te,True,Sb;Te,True,Sb;Te,True,False,False,False,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1002/sstr.202400201
10.1016_j.nanoen.2017.11.019__sample_41297,10,review,observed ZT >= threshold; high observed electrical conductivity; high ML predicted electrical conductivity,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1016/j.nanoen.2017.11.019,,41297,Yb1.1Zn1.90In0.10Sb2(InSb)0.1,,p,,,,,,3.547952,,,,3.547952,,,,,,,,117731.5,82598.3,124383.86181262531,77322.86146418186,,,0.000146983,0.00014214465,3.547952,,,311.72,690.173,378.453,16,True,False,False,False,True,True,False,In;Sb;Yb;Zn,False,In;Sb;Yb,True,Sb,True,False,False,False,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1016/j.nanoen.2017.11.019
10.1016_j.nanoen.2017.11.019__sample_41298,10,review,observed ZT >= threshold; high observed electrical conductivity; high ML predicted electrical conductivity,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1016/j.nanoen.2017.11.019,,41298,Yb1.13Zn1.90In0.10Sb2(InSb)0.13,,p,,,,,,3.500827,,,,3.500827,,,,,,,,113529.7,75555.64,106055.25639124127,77322.86146418186,,,0.0001517872,0.00013370955,3.500827,,,316.075,690.173,374.098,16,True,False,False,False,True,True,False,In;Sb;Yb;Zn,False,In;Sb;Yb,True,Sb,True,False,False,False,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1016/j.nanoen.2017.11.019
10.1016_j.nanoen.2017.11.019__sample_41296,30,C,observed ZT >= threshold; high observed electrical conductivity; high ML predicted electrical conductivity; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1016/j.nanoen.2017.11.019,,41296,Yb1.07Zn1.90In0.10Sb2(InSb)0.07,,p,p,"estimated from Seebeck sign: positive=16, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=16, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,3.094071,0.1708337516965092,0.1997287273628427,0.1963123056722544,3.094071,0.1708337516965092,0.1997287273628427,0.1963123056722544,,,,,123348.7,86788.31,106055.25639124127,77322.86146418186,2.422749,2.422749,0.000134516,0.00012172054999999999,3.094071,0.1708337516965092,0.1963123056722544,316.075,690.657,374.58200000000005,16,True,False,False,False,True,True,False,In;Sb;Yb;Zn,False,In;Sb;Yb,True,Sb,True,False,False,False,True,True,True,False,,True,True,,auto_step9,,,auto_step9,,,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1016/j.nanoen.2017.11.019
10.1038_s41563-021-01064-6__sample_42024,10,review,observed ZT >= threshold; high observed electrical conductivity; high ML predicted electrical conductivity,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1038/s41563-021-01064-6,,42024,Na0.03Sn0.992Se,,p,,,,,,2.987763,,,,2.987763,,,,,,,,14020.23,9437.861499999999,14365.356493828003,8435.087569119065,,,0.0003189916,0.0003086746,2.987763,,,310.367,784.489,474.122,22,True,False,False,False,True,True,False,Na;Se;Sn,False,Se,True,Se,True,False,False,False,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1038/s41563-021-01064-6
10.1038_nature13184__sample_31743,85,A,observed ZT >= threshold; ML predicted ZT >= threshold; low thermal conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1038/nature13184,,31743,SnSe,,p,p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,2.617264,94.56577529484764,0.7676095246817163,0.3137429060412725,2.617264,94.56577529484764,0.7676095246817163,0.3137429060412725,,,,,8116.535,995.287,340622.9142921205,190045.1558804656,0.3946058,0.50082985,0.0005636364,0.0005420455,2.617264,94.56577529484764,0.3137429060412725,298.448,966.995,668.547,15,True,True,False,True,False,True,True,Se;Sn,False,Se,True,Se,True,False,False,False,True,True,True,False,,True,True,,auto_step9,,,auto_step9,,,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1038/nature13184
10.1021_jacs.6b07010__sample_2886,85,A,observed ZT >= threshold; ML predicted ZT >= threshold; low thermal conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1021/jacs.6b07010,,2886,SnSe,,p,p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,2.462241,108.85964907268944,0.6788135734896266,0.9053938023614706,2.462241,108.85964907268944,0.6788135734896266,0.9053938023614706,,,,,8903.53,1006.705,340622.9142921205,206386.9954634781,0.3281036,0.3601018,0.000563246,0.000537741,2.462241,108.85964907268944,0.9053938023614706,300.549,872.071,571.522,13,True,True,False,True,False,True,True,Se;Sn,False,Se,True,Se,True,False,False,False,True,True,True,False,,True,True,,auto_step9,,,auto_step9,,,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1021/jacs.6b07010
10.1002_adfm.201806613__sample_41585,30,C,observed ZT >= threshold; high observed electrical conductivity; high ML predicted electrical conductivity; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1002/adfm.201806613,,41585,Ge0.95Bi0.05Te1.025,,p,p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,2.33381,0.5030407366171967,0.5756288916116479,0.7182383403401189,2.33381,0.5030407366171967,0.5756288916116479,0.7182383403401189,,,,,334801.9,128971.65,175413.93610140253,127518.36911935103,2.302488,2.566449,0.0002526937,0.00017878685000000002,2.33381,0.5030407366171967,0.7182383403401189,325.604,765.01,439.406,10,True,False,False,False,True,True,False,Bi;Ge;Te,False,Bi;Ge;Te,True,Te,True,False,False,False,True,True,True,False,,True,True,,auto_step9,,,auto_step9,,,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1002/adfm.201806613
10.1002_adfm.201806613__sample_41595,30,C,observed ZT >= threshold; high observed electrical conductivity; high ML predicted electrical conductivity; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1002/adfm.201806613,,41595,Ge0.95Bi0.05Te1.025,,p,p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,2.314523,0.1798451859353241,0.1960716954255574,0.3305692656530635,2.314523,0.1798451859353241,0.1960716954255574,0.3305692656530635,,,,,331464.0,114519.8,175413.93610140253,124573.83308060026,2.740388,2.8405495,0.000251579,0.00017780405,2.314523,0.1798451859353241,0.3305692656530635,324.297,765.223,440.92599999999993,11,True,False,False,False,True,True,False,Bi;Ge;Te,False,Bi;Ge;Te,True,Te,True,False,False,False,True,True,True,False,,True,True,,auto_step9,,,auto_step9,,,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1002/adfm.201806613
10.1016_j.mattod.2017.11.005__sample_41016,105,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; low kappa and high sigma; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown; ML much worse than fitting,10.1016/j.mattod.2017.11.005,,41016,Sn0.97Na0.03Se0.9S0.1,unknown,p,p,,,,,2.298333,1.4108076860576506,4.326452701432048,2.160538366213624,2.298333,0.483826088619768,4.326452701432048,2.160538366213624,2.298333,1.4108076860576506,4.326452701432048,2.160538366213624,170770.4,30418.07,6941.294424728011,4547.202689230516,0.5664915,1.035611,0.000301196,0.0002641882,2.298333,0.483826088619768,2.160538366213624,324.53,911.406,586.876,13,True,True,True,True,True,False,True,Na;S;Se;Sn,False,Se,True,Se,True,False,False,False,True,True,True,False,,True,True,,,,,,,,,no,,,no,unknown,ML_moderately_worse,not_evaluable,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect; tau_eff_ML_prediction_error,not_evaluable,candidate hypothesis only; no causal mechanism proven,0.5845360214569235,1.26388071046879,0.6793446890118664,0.5203070346202123,0.6208546899572092,0.1005476553369968,0.45411726034538,0.6714705211774331,0.217353260832053,True,True,True,True,60.0,B,observed high ZT; missing sintering info for high-ZT/error sample; manual review not checked,False,False,True,True,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1016/j.mattod.2017.11.005
10.1039_c5ee01147g__sample_6054,110,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1039/c5ee01147g,,6054,Pb1Te0.8S0.2Na0.03,,p,,,,,,2.291022,2.574522065548879,3.34534246081223,7.596790003024584,2.291022,2.574522065548879,3.34534246081223,7.596790003024584,,,,,163979.0,55803.185,76465.09904598685,44546.88426651643,0.733737,0.80484,0.0002772875,0.000169498,2.291022,2.574522065548879,7.596790003024584,300.882,921.146,620.2639999999999,42,True,True,True,True,True,True,True,Na;Pb;S;Te,False,Te,True,Pb;Te,True,False,False,False,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1039/c5ee01147g
10.1016_j.jmat.2016.05.005__sample_2717,110,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1016/j.jmat.2016.05.005,,2717,(Pb0.92Mg0.08)0.98Na0.02Te0.8Se0.2,,p,,,,,,2.28777,2.925919232427211,3.049456705004687,2.170383656344734,2.28777,2.925919232427211,3.049456705004687,2.170383656344734,,,,,181933.0,45319.7,83119.88723751446,50485.54796758284,0.8601036,1.186528,0.0002994123,0.00024569455,2.28777,2.925919232427211,2.170383656344734,291.534,822.149,530.615,29,True,True,True,True,True,True,True,Mg;Na;Pb;Se;Te,False,Se;Te,True,Pb;Se;Te,True,False,False,False,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1016/j.jmat.2016.05.005
10.1038_nature13184__sample_31744,40,C,observed ZT >= threshold; low thermal conductivity; high ML predicted electrical conductivity; low kappa and high sigma,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1038/nature13184,,31744,SnSe,,p,,,,,,2.278502,,,,2.278502,,,,,,,,6873.241,1126.863,340622.9142921205,190045.1558804656,0.293361,0.45103735,0.0005681818,0.0004045455,2.278502,,,301.325,971.544,670.219,15,True,False,False,True,False,True,True,Se;Sn,False,Se,True,Se,True,False,False,False,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1038/nature13184
10.1002_adma.201705942__sample_31973,130,A,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,10.1002/adma.201705942,,31973,Ge0.89Sb0.1In0.01Te,unknown,p,p,,,,,2.276833,2.497773949566896,1.786887955007842,2.3232014023759406,2.276833,2.2682452473392787,1.786887955007842,2.3232014023759406,2.276833,2.497773949566896,1.786887955007842,2.3232014023759406,59130.43,42608.695,87704.85774324351,52561.219480407635,0.9117647,1.0,0.0002701211,0.0002598184,2.276833,2.2682452473392787,2.3232014023759406,300.0,779.218,479.21799999999996,12,True,True,True,True,True,True,True,Ge;In;Sb;Te,False,Ge;In;Sb;Te,True,Sb;Te,True,False,False,False,True,True,True,False,,True,True,,,,,,,,,no,,,no,unknown,ML_moderately_worse,not_evaluable,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,not_evaluable,candidate hypothesis only; no causal mechanism proven,0.4202325275867913,0.5373729786198536,0.1171404510330622,0.3924742281961401,0.5411344958071688,0.1486602676110286,0.3555307913466481,0.5650873546037661,0.2095565632571179,True,True,True,True,60.0,B,observed high ZT; missing sintering info for high-ZT/error sample; manual review not checked,False,False,True,True,False,unknown,no,no,downstream_all_samples,not_unbiased_evaluation,https://doi.org/10.1002/adma.201705942
