sample_key,step17_review_priority_score,step17_review_priority_tier,step17_review_reason,DOI,paper_title,sample_id,composition,material_system,n_or_p,n_or_p_basis,n_or_p_step6,n_or_p_basis_step6,n_or_p_confidence_step6,zt_obs_max_step14,zt_pred_max_step14,zt_calc_from_obs_max_step14,zt_pred_vs_obs_mape_step14,zt_pred_vs_calc_mape_step14,classification_case_step15,zt_error_analysis_category_step15,step17_check_additive,step17_check_structure,step17_check_np_type,step17_check_sintering,additive_auto_step9,additive_manual_step9,structure_auto_step9,structure_manual_step9,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,sintering_method,sintering_checked,record_checked,source_files_step16,thresholds_in_high_zt_error_file_step15,manual_review_priority_score_step15,manual_review_priority_tier_step15,sintering_check_reason_step15,n_rows_step14,n_pf_eval_rows_step14,n_zt_calc_eval_rows_step14,n_zt_obs_eval_rows_step14,pf_mape_step14,pf_log_rmse_step14,zt_pred_vs_calc_log_rmse_step14,zt_pred_vs_obs_log_rmse_step14,zt_pred_vs_obs_quality_step14,zt_pred_vs_calc_quality_step14,SID,year,tau_eff_step12,tau_eff_unit_step12,tau_eff_mode_step12,fitting_source_actual_step10,needs_sintering_check_later_step14,pf_error_level_sample_step15,zt_obs_error_level_sample_step15,zt_calc_error_level_sample_step15,zt_error_direction_sample_step15,zt_error_analysis_note_step15,needs_manual_review_step15,needs_sintering_check_later_step15,pf_zt_problem_reason_step15,doi_url
10.1016_j.nanoen.2017.11.019__sample_41296,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1016/j.nanoen.2017.11.019,,41296,Yb1.07Zn1.90In0.10Sb2(InSb)0.07,unknown,p,"estimated from Seebeck sign: positive=16, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=16, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,3.094071,0.1997287273628427,0.1963123056722544,0.8292957712440705,0.0174029930466615,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,100,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,16,16,1,1,0.0292767627995774,0.0380143517692464,0.0172532952605268,1.767822876460296,poor,excellent,31657,,2.292309006478272,relative_scale,empirical_group_baseline,,yes,excellent,moderate,excellent,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1016/j.nanoen.2017.11.019
10.1038_nature13184__sample_31743,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1038/nature13184,,31743,SnSe,unknown,p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,2.617264,0.7676095246817163,0.3137429060412725,2.649920977413767,2.1811210413631104,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,145,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,15,7,3,1,1.4559882799375774,1.2658685569719763,1.1557590598963332,1.2947055173364097,poor,poor,14595,,0.0435344869727399,relative_scale,empirical_group_baseline,,yes,poor,poor,poor,under_predicted,high_zt_false_negative,yes,yes,large PF error; large ZT error vs observed ZT; large ZT error vs calculated ZT; observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1038/nature13184
10.1021_jacs.6b07010__sample_2886,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1021/jacs.6b07010,,2886,SnSe,unknown,p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,2.462241,0.6788135734896266,0.9053938023614706,0.2549522802640206,0.2502559972035062,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,100,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,13,5,1,1,1.1321493426897926,0.7770448827519957,0.2880234603226644,0.2943070093170199,good,good,18599,,0.0334434175641071,relative_scale,empirical_group_baseline,,yes,poor,good,good,under_predicted,high_zt_false_negative,yes,yes,large PF error; observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1021/jacs.6b07010
10.1002_adfm.201806613__sample_41595,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1002/adfm.201806613,,41595,Ge0.95Bi0.05Te1.025,unknown,p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,2.314523,0.1960716954255574,0.3305692656530635,0.3873063250859093,0.4149545215460291,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,100,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,11,10,2,2,0.3254270779111744,0.372419438080372,0.536339483439621,0.490018490962287,moderate,moderate,31615,,3.5355280493884296,relative_scale,empirical_group_baseline,,yes,good,good,good,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1002/adfm.201806613
10.1002_aenm.201601450__sample_3198,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1002/aenm.201601450,,3198,PbTe0.85Se0.15Na0.02(SrTe)0.04,unknown,p,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,2.226909,0.5192136831800847,0.6797535579389168,0.271002789576282,0.2361736439388499,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,100,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,14,4,1,1,0.2231150862873878,0.3107015541119642,0.2694147982907044,0.3160853735600624,good,good,18492,,1.8377942113720185,relative_scale,empirical_group_baseline,,yes,good,good,good,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1002/aenm.201601450
10.1016_j.nanoen.2018.09.025__sample_43728,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1016/j.nanoen.2018.09.025,,43728,Sn0.98Pb0.01Zn0.01Se,unknown,p,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,2.205143,0.6852833329738071,2.1631623248410867,1.4137167940557194,0.8498191884979206,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,115,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,14,11,7,7,0.998441461330956,1.0267885413986608,1.1072911894858966,1.261752735678561,poor,poor,32098,,0.0544258376178311,relative_scale,empirical_group_baseline,,yes,moderate,poor,moderate,under_predicted,high_zt_false_negative,yes,yes,large ZT error vs observed ZT; observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1016/j.nanoen.2018.09.025
10.1002_adfm.201806613__sample_41584,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1002/adfm.201806613,,41584,Ge0.95Bi0.05Te1.025,unknown,p,"estimated from Seebeck sign: positive=12, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=12, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,2.179321,0.3494173345641866,0.4835334992235847,0.2930561190014687,0.3344345924500544,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,100,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,10,6,2,1,0.3067242252612259,0.3421770728542278,0.4197037867571073,0.3468039924757258,good,moderate,31615,,3.680535323621135,relative_scale,empirical_group_baseline,,yes,good,good,good,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1002/adfm.201806613
10.1038_ncomms13713__sample_33473,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1038/ncomms13713,,33473,Sn0.94SeBi0.06,unknown,n,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,2.156489,0.7644257186790195,2.1753525122115205,1.4982254753555342,1.509500516430532,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,135,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,11,9,8,8,1.4176812349188488,1.0660908958666957,1.115676266901374,1.1103989236146172,poor,poor,27933,,0.0368748587081502,relative_scale,empirical_group_baseline,,yes,poor,poor,poor,under_predicted,high_zt_false_negative,yes,yes,large PF error; large ZT error vs observed ZT; large ZT error vs calculated ZT; observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1038/ncomms13713
10.1021_jacs.7b11875__sample_43928,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1021/jacs.7b11875,,43928,Sn0.95Se,unknown,p,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=14, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,2.137449,0.6144786643582826,1.8986619381433056,0.6276655978699592,0.6311601642463995,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,100,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,15,9,2,2,0.4948678595861148,0.7474285663883625,1.1704046273392714,1.1456778859328305,poor,poor,32056,,0.0821900796849222,relative_scale,empirical_group_baseline,,yes,good,moderate,moderate,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1021/jacs.7b11875
10.1007_s11664-015-4122-9__sample_17048,3000,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; best candidate sample; manual review candidate; sintering check candidate,10.1007/s11664-015-4122-9,,17048,Pb18Ag2Te20,unknown,n,"estimated from Seebeck sign: positive=0, negative=6, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=6, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,2.124154,0.9139339172227188,1.1555387272854278,0.6454765238107354,0.7014557072754715,false_negative,high_zt_false_negative,yes,yes,yes,yes,unknown,,unknown,,False,unknown,True,True,unknown,no,no,best_candidate;high_zt_error;manual_review;sintering_check,1,90,A,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,6,6,5,5,0.6474120895788766,0.603426770348967,0.626182372266329,0.8198354449484756,poor,moderate,10917,,0.0696033547326391,relative_scale,empirical_group_baseline,,yes,moderate,moderate,moderate,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later,https://doi.org/10.1007/s11664-015-4122-9
